1;Luís Figo;Right Winger;27
2;Hernán Crespo;Centre-Forward;25
3;Marc Overmars;Left Winger;27
4;Gabriel Batistuta;Centre-Forward;31
5;Nicolas Anelka;Centre-Forward;21
6;Rio Ferdinand;Centre-Back;22
7;Flávio Conceicao;Central Midfield;26
8;Savo Milosevic;Centre-Forward;26
9;David Trézéguet;Centre-Forward;22
10;Claudio López;Centre-Forward;25
11;Jimmy Floyd Hasselbaink;Centre-Forward;28
12;Gerard López;Central Midfield;21
13;Lucas;Centre-Forward;21
14;Pablo Aimar;Attacking Midfield;21
15;Wálter Samuel;Centre-Back;22
16;Shabani Nonda;Centre-Forward;23
17;Robbie Keane;Centre-Forward;19
18;José Mari;Centre-Forward;21
19;Jonathan Zebina;Centre-Back;21
20;Émerson;Defensive Midfield;24
21;Tore André Flo;Centre-Forward;27
22;Sergiy Rebrov;Second Striker;26
23;Angelo Peruzzi;Goalkeeper;30
24;Diego Tristán;Centre-Forward;24
25;Sylvain Wiltord;Second Striker;26
26;Fernando Redondo;Defensive Midfield;31
27;Jardel;Centre-Forward;26
28;Nuno Gomes;Centre-Forward;24
29;Sérgio Conceição;Right Winger;25
30;Alfonso;Centre-Forward;27
31;Francisco Farinós;Defensive Midfield;22
32;Kakhaber Kaladze;Centre-Back;22
33;Francis Jeffers;Centre-Forward;20
34;Emmanuel Petit;Defensive Midfield;29
35;Tomás Rosicky;Attacking Midfield;20
36;Catanha;Centre-Forward;28
37;Juan Pablo Ángel;Centre-Forward;25
38;Mateja Kezman;Centre-Forward;21
39;Claude Makélélé;Defensive Midfield;27
40;Aldo Duscher;Defensive Midfield;21
41;Ugo Ehiogu;Centre-Back;27
42;Jesper Grönkjaer;Left Winger;23
43;Fabien Barthez;Goalkeeper;29
44;Edmílson;Centre-Back;23
45;Stéphane Dalmat;Central Midfield;21
46;Laurén;Right-Back;23
47;Pedro Munitis;Second Striker;25
48;Olivier Dacourt;Defensive Midfield;25
49;Carl Cort;Centre-Forward;22
50;Stéphane Porato;Goalkeeper;26
51;Robert Pirès;Left Midfield;26
52;Émerson;Defensive Midfield;28
53;Chris Sutton;Centre-Forward;27
54;Claudio Husaín;Defensive Midfield;25
55;Craig Bellamy;Left Winger;21
56;Mark Viduka;Centre-Forward;24
57;Pauleta;Centre-Forward;27
58;Alpay Özalan;Centre-Back;27
59;Christian Ziege;Left Midfield;28
60;Nick Barmby;Left Midfield;26
61;Marc-Vivien Foé;Central Midfield;25
62;Lúcio;Centre-Back;22
63;Christian Karembeu;Defensive Midfield;29
64;Neil Lennon;Central Midfield;29
65;John Carew;Centre-Forward;20
66;Mario Stanic;Right Winger;28
67;Igor Biscan;Centre-Back;22
68;Julio Cruz;Centre-Forward;25
69;Patrick Müller;Centre-Back;23
70;Zlatko Zahovic;Attacking Midfield;29
71;Sabri Lamouchi;Central Midfield;28
72;Willy Sagnol;Right-Back;23
73;Johan Micoud;Attacking Midfield;26
74;Martín Palermo;Centre-Forward;27
75;Ben Thatcher;Left-Back;24
76;Eidur Gudjohnsen;Centre-Forward;21
77;Bruno Cirillo;Centre-Back;23
78;Sunday Oliseh;Defensive Midfield;25
79;Roger;Attacking Midfield;21
80;Dino Baggio;Defensive Midfield;29
81;Diego Placente;Left-Back;23
82;David Sesa;Second Striker;26
83;Bert Konterman;Centre-Back;29
84;Dominic Matteo;Left-Back;26
85;Mauro Germán Camoranesi;Right Midfield;24
86;Rodrigo Tello;Left Midfield;21
87;Luís Fabiano;Centre-Forward;19
88;Pierre van Hooijdonk;Centre-Forward;30
89;Hermann Hreidarsson;Centre-Back;25
90;Émerson Thome;Centre-Back;28
91;Hakan Sükür;Centre-Forward;28
92;Philippe Delaye;Central Midfield;25
93;Alex Nyarko;Centre-Back;26
94;Bob Peeters;Centre-Forward;26
95;César Sánchez;Goalkeeper;28
96;Carlos Gamarra;Centre-Back;29
97;Patrick M'Boma;Centre-Forward;29
98;Claus Jensen;Attacking Midfield;23
99;Lucas Bernardi;Central Midfield;22
100;Alain Goma;Centre-Back;28
101;Frédéric Déhu;Centre-Back;27
102;Esteban Fuertes;Centre-Forward;27
103;Milan Rapaic;Left Midfield;26
104;Sebastián Cejas;Goalkeeper;26
105;Zé Elias;Central Midfield;23
106;Joos Valgaeren;Centre-Back;24
107;Bülent Akin;Defensive Midfield;21
108;Ronald de Boer;Right Winger;30
109;Fernando Ricksen;Right-Back;23
110;Duncan Ferguson;Centre-Forward;28
111;Giorgi Demetradze;Centre-Forward;24
112;Christian Bassedas;Attacking Midfield;27
113;José Luis Chilavert;Goalkeeper;35
114;Roberto Ayala;Centre-Back;27
115;Viorel Moldovan;Centre-Forward;28
116;Vratislav Gresko;Left-Back;23
117;Giorgi Kinkladze;Attacking Midfield;27
118;Serkan Aykut;Centre-Forward;25
119;Fernandão;Centre-Forward;22
120;Haim Revivo;Attacking Midfield;28
121;Vicente;Left Winger;18
122;Julio Arca;Central Midfield;19
123;Richard Dunne;Centre-Back;21
124;Gary Rowett;Right-Back;26
125;Richard Núñez;Attacking Midfield;25
126;David Thompson;Right Midfield;22
127;Alessandro Pistone;Left-Back;24
128;Joseph-Désiré Job;Centre-Forward;22
129;Radostin Kishishev;Defensive Midfield;25
130;Bernard Diomède;Left Winger;26
131;Sixto Peralta;Central Midfield;21
132;David Johnson;Left Winger;24
133;Kennet Andersson;Centre-Forward;32
134;Marquinhos;Attacking Midfield;18
135;Alan Thompson;Left Midfield;26
136;Jonatan Johansson;Centre-Forward;24
137;Rodolfo Arruabarrena;Left-Back;24
138;Rigobert Song;Centre-Back;24
139;José Francisco Molina;Goalkeeper;29
140;Jörg Heinrich;Left Midfield;30
141;Adrian Mutu;Centre-Forward;21
142;Fernando Meira;Centre-Back;22
143;Gianni Guigou;Defensive Midfield;25
144;Richard Dutruel;Goalkeeper;27
145;Pascal Nouma;Centre-Forward;28
146;Craig Hignett;Right Winger;30
